"","Factor","Type","N","value","sd","Lq","Hq"
"37",0.5,"Cetacean, CV = 0.2",2000,0.906470554039458,0.00458852374440734,0.898538616719412,0.914017999923513
"38",0.5,"Cetacean, CV = 0.8 ",2000,0.906654208951036,0.00475490511882688,0.89905883224703,0.914177789786762
"39",0.5,"Indiana Bat, CV = 0.2",2000,0.906130565874965,0.0075708708054707,0.893233276782396,0.918579321223469
"40",0.5,"Indiana Bat, CV = 0.8 ",2000,0.905826231566826,0.00752893747457741,0.893433224390858,0.917958249492482
"41",0.55,"Cetacean, CV = 0.2",2000,0.895484438315681,0.00521743724512892,0.886968323348212,0.903905104516487
"42",0.55,"Cetacean, CV = 0.8 ",2000,0.895929892677707,0.00516872703241731,0.887437782399404,0.904138060140219
"43",0.55,"Indiana Bat, CV = 0.2",2000,0.894999674100743,0.00838005995536368,0.881322615743252,0.908024319948485
"44",0.55,"Indiana Bat, CV = 0.8 ",2000,0.894946769484049,0.00815909833568198,0.881392260656386,0.908556798426874
"45",0.6,"Cetacean, CV = 0.2",2000,0.884333022614861,0.00578002792269721,0.874827597579872,0.89363578895427
"46",0.6,"Cetacean, CV = 0.8 ",2000,0.884348764841091,0.00567906306666685,0.874578549650546,0.89336075151997
"47",0.6,"Indiana Bat, CV = 0.2",2000,0.883376809822049,0.00946450913977046,0.867300542968677,0.89867119152138
"48",0.6,"Indiana Bat, CV = 0.8 ",2000,0.883251457453252,0.00920332131045765,0.867860948951251,0.898165128949124
"49",0.65,"Cetacean, CV = 0.2",2000,0.872851142245508,0.00619109415331611,0.86229429118977,0.882810451452697
"50",0.65,"Cetacean, CV = 0.8 ",2000,0.873197311010925,0.0063485407546501,0.862653134403703,0.883446600164307
"51",0.65,"Indiana Bat, CV = 0.2",2000,0.871801117529742,0.0100277384203631,0.854732550296673,0.887972926820299
"52",0.65,"Indiana Bat, CV = 0.8 ",2000,0.87143823522882,0.0104488322705296,0.854096696385801,0.888142380159879
"53",0.7,"Cetacean, CV = 0.2",2000,0.86122003781975,0.00675997511743764,0.850191789889457,0.872533060219122
"54",0.7,"Cetacean, CV = 0.8 ",2000,0.860918482677767,0.00709194493065059,0.848894042874229,0.872366452868708
"55",0.7,"Indiana Bat, CV = 0.2",2000,0.860038438236406,0.0109781604079639,0.840615629173966,0.87714395652901
"56",0.7,"Indiana Bat, CV = 0.8 ",2000,0.85990095066137,0.0111399778116325,0.840869044975273,0.877119532086596
"57",0.75,"Cetacean, CV = 0.2",2000,0.848961913954196,0.00738560669577499,0.836415293137014,0.861152946091596
"58",0.75,"Cetacean, CV = 0.8 ",2000,0.848505573083207,0.0073503116289976,0.836379625908897,0.860528267318378
"59",0.75,"Indiana Bat, CV = 0.2",2000,0.846978259522051,0.0119622927235803,0.827045088819435,0.8657447073094
"60",0.75,"Indiana Bat, CV = 0.8 ",2000,0.847448035894772,0.0120941950971404,0.82787783591076,0.866846166551941
"61",0.8,"Cetacean, CV = 0.2",2000,0.835313275716784,0.0080339940411876,0.822121602961339,0.848514638555009
"62",0.8,"Cetacean, CV = 0.8 ",2000,0.835624028621667,0.00791439627561442,0.822321220191019,0.848773215659726
"63",0.8,"Indiana Bat, CV = 0.2",2000,0.833543521698187,0.0133115900097714,0.810619678030965,0.854508925688081
"64",0.8,"Indiana Bat, CV = 0.8 ",2000,0.833696129234529,0.0132055632842691,0.811805212627479,0.855562497591723
"65",0.85,"Cetacean, CV = 0.2",2000,0.821975390901306,0.00866829409223984,0.807503458342756,0.835799617891033
"66",0.85,"Cetacean, CV = 0.8 ",2000,0.821811120518976,0.0088121663698018,0.807542511558542,0.83656052599061
"67",0.85,"Indiana Bat, CV = 0.2",2000,0.819364731631795,0.0138883236616374,0.796161244445363,0.841524676194933
"68",0.85,"Indiana Bat, CV = 0.8 ",2000,0.819649043592721,0.0136714257816926,0.796268719161965,0.841663611407777
"69",0.9,"Cetacean, CV = 0.2",2000,0.807250724224798,0.00948880229435078,0.791522790962682,0.822717637766122
"70",0.9,"Cetacean, CV = 0.8 ",2000,0.807582088974159,0.00945976628986366,0.79192319650912,0.822922337640425
"71",0.9,"Indiana Bat, CV = 0.2",2000,0.804733377376984,0.0152553552511917,0.778724228586536,0.82941418857027
"72",0.9,"Indiana Bat, CV = 0.8 ",2000,0.804630210339754,0.0151738449626425,0.778541002954967,0.828947636589529
"73",0.95,"Cetacean, CV = 0.2",2000,0.792110331599573,0.00997208004749166,0.775620888442095,0.808566895489615
"74",0.95,"Cetacean, CV = 0.8 ",2000,0.792235470540203,0.0101777012331401,0.775068085341741,0.809249117663496
"75",0.95,"Indiana Bat, CV = 0.2",2000,0.788989656287776,0.0163492315046082,0.761534777859915,0.815268220277887
"76",0.95,"Indiana Bat, CV = 0.8 ",2000,0.789172751023873,0.0165851457667147,0.761866381318622,0.81515060377165
"77",1,"Cetacean, CV = 0.2",2000,0.775469626086542,0.0107896574098016,0.757423301869748,0.793168099700257
"78",1,"Cetacean, CV = 0.8 ",2000,0.776264451458866,0.0107695059456214,0.758530427302439,0.793943552392019
"79",1,"Indiana Bat, CV = 0.2",2000,0.771030090744236,0.0177233699114453,0.740797552448522,0.800268577893604
"80",1,"Indiana Bat, CV = 0.8 ",2000,0.772174507065552,0.0180438120580846,0.740120257631558,0.8002355150985
